Data_sheet,Measuring_Date,Body_of_water,Year,Fish_ID,Other_ID,Measured_by,Picture_direction,SL,Body_depth,AP_length,AP_length_corrected,AP_width,AP_width_corrected,AP_PA,Jaw_length,Plate_L_Combined,Plate_R_Combined,Plate_L_1,Plate_L_2,Plate_L_3,Plate_L_4,Plate_L_5,Plate_L_6,Plate_L_7,Plate_L_8,Plate_L_9,Plate_L_10,Plate_L_11,Plate_R_1,Plate_R_2,Plate_R_3,Plate_R_4,Plate_R_5,Plate_R_6,Plate_R_7,Plate_R_8,Plate_R_9,Plate_R_10,Plate_R_11,Plate_L_total,Plate_R_total,Plate_LR_total,PPL,PPW,PP_PA,Dorsal_1,Dorsal_1_PA,Dorsal_2,Dorsal_2_PA,Pelvic_spine,Pelvic_spine_PA,Sex,Dorsal_3,Dorsal_3_PA,Eye_diameter,Parasites ,Parasite_type,Juvenile,Eggs,Opened before picture,Comments,General_comments,Collection_comments
1,2024-09-18,Boulton Lake,2022,HG221026,,ZM,L,47.08,9.80,NA,NA,NA,NA,N,3.63,567,67,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,2,5,NA,NA,N,3.52,Y,NA,N,NA,N,M,0.88,Y,4.36,N,,?,,,Very small testes,,
1,2024-09-20,Boulton Lake,2022,HG221021,,ZM,L,57.38,12.34,3.39,3.39,1.83,1.83,Y,5.13,567,67,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,2,5,5.73,2.10,Y,4.08,Y,NA,N,4.93,Y,M,1.47,Y,5.38,N,,,,,Triangular AP,,
1,2024-09-20,Boulton Lake,2022,HG221023,,ZM,L,57.46,11.07,NA,NA,NA,NA,N,4.26,67,5678,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,2,4,6,NA,NA,N,4.10,Y,NA,N,NA,N,F,1.33,Y,4.91,N,,,1,,Warty,,
1,2024-09-20,Boulton Lake,2022,HG221015,,ZM,L,52.52,12.61,NA,NA,NA,NA,N,4.49,567,567,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,3,3,6,5.04,2.36,Y,3.20,Y,NA,N,4.46,Y,M,0.94,Y,4.92,Y,schisto,,,,"Organic matter on anal fin, nodules near testes",,
1,2024-09-20,Boulton Lake,2022,HG220984,,ZM,L,54.89,12.91,NA,NA,NA,NA,N,5.36,5678,5678,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,4,4,8,NA,NA,N,3.17,Y,3.47,Y,NA,N,M,NA,N,5.31,Y,schisto,,,,,,
1,2024-09-20,Boulton Lake,2022,HG220987,,ZM,L,56.22,12.99,2.48,2.48,1.84,1.84,Y,5.42,67,567,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,2,3,5,NA,NA,N,3.72,Y,NA,N,NA,N,F,1.25,Y,4.97,Y,schisto,,,,"Hole in jaw, very pale, triangular AP",,
1,2024-09-23,Drizzle Lake,2022,HG221044,,ZM,L,48.50,10.20,6.63,6.63,1.54,1.54,Y,3.43,45678,4567,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,5,4,9,7.30,1.39,Y,6.61,Y,7.17,Y,9.86,Y,?,2.05,Y,4.15,N,,?,,,AP angled backwards oddly,,
1,2024-09-23,Drizzle Lake,2022,HG221037,,ZM,L,78.33,14.77,9.89,9.89,2.67,2.67,Y,5.32,345678,345678,0,0,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,6,6,12,11.34,4.44,Y,10.09,Y,11.67,Y,13.80,Y,M,3.02,Y,6.63,N,,,,,,,
1,2024-09-23,Drizzle Lake,2022,HG221041,,ZM,L,75.01,16.29,10.08,10.08,3.03,3.03,Y,5.85,4567,34567,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,4,5,9,11.84,4.51,Y,9.44,Y,10.20,Y,14.01,Y,M,2.87,Y,6.89,N,,,,,,,
1,2024-09-23,Drizzle Lake,2022,HG221043,,ZM,L,73.04,15.67,9.28,9.28,2.33,2.33,Y,5.71,345678,345678,0,0,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,6,6,12,10.70,3.26,Y,7.83,Y,9.47,Y,12.74,Y,M,1.40,Y,6.32,N,,,,,,,
